code;language
nob;Norwegian (Bokmål)
mul;Multiple languages
eng;English
dut;Dutch
nno;Norwegian (Nynorsk)
dan;Danish
ger;German
lat;Latin
tur;Turkish
swe;Swedish
grc;Greek, Ancient (to 1453)
fre;French
spa;Spanish
sme;Northern Sami
ice;Icelandic
ara;Arabic
und;Undetermined
smj;Lule Sami
ita;Italian
nor;Norwegian
epo;Esperanto
fin;Finnish
pol;Polish
zxx;No linguistic content
jpn;Japanese
tkl;Tokelauan
non;Old Norse
rus;Russian
amh;Amharic
som;Somali
rum;Romanian
chi;Chinese
kur;Kurdish
urd;Urdu
vie;Vietnamese
alb;Albanian
bos;Bosnian
scr;Croatian
gre;Greek, Modern (1453-)
per;Persian
por;Portuguese
swa;Swahili
heb;Hebrew
hun;Hungarian
cat;Catalan
sgn;Sign languages
ind;Indonesian
fro;French, Old (ca. 842-1300)
ukr;Ukrainian
mar;Marathi
afr;Afrikaans
sma;Southern Sami
akk;Akkadian
cze;Czech
lit;Lithuanian
tir;Tigrinya
bul;Bulgarian
hrv;Croatian
kal;Kalâtdlisut
smn;Inari Sami
smi;Sami
sms;Skolt Sami
hit;Hittite
kor;Korean
pus;Pushto
tam;Tamil
mlg;Malagasy
byn;Bilin
sat;Santali
tha;Thai
srp;Serbian
san;Sanskrit
hin;Hindi
mac;Macedonian
lav;Latvian
pli;Pali
cop;Coptic
fao;Faroese
ben;Bengali
bur;Burmese
est;Estonian
tib;Tibetan
baq;Basque
iku;Inuktitut
ypk;Yupik languages
che;Chechen
enm;English, Middle (1100-1500)
lap;Sami
slv;Slovenian
slo;Slovak
pan;Panjabi
ful;Fula
bel;Belarusian
gez;Ethiopic
rom;Romani
arm;Armenian
zul;Zulu
nde;Ndebele (Zimbabwe)
myn;Mayan languages
scc;Serbian
yid;Yiddish
gle;Irish
kar;Karen languages
got;Gothic
aym;Aymara
nds;Low German
tgl;Tagalog
geo;Georgian
chu;Church Slavic
bre;Breton
gmh;German, Middle High (ca. 1050-1500)
wel;Welsh
sux;Sumerian
nep;Nepali
ira;Iranian (Other)
pra;Prakrit languages
ang;English, Old (ca. 450-1100)
mno;Manobo languages
aze;Azerbaijani
egy;Egyptian
frm;French, Middle (ca. 1300-1600)
uig;Uighur
esk;Eskimo languages
map;Austronesian (Other)
alg;Algonquian (Other)
glg;Galician
ace;Achinese
ina;Interlingua (International Auxiliary Language Association)
ave;Avestan
cau;Caucasian (Other)
phi;Philippine (Other)
kho;Khotanese
mlt;Maltese
smo;Samoan
sah;Yakut
mwl;Mirandese
art;Artificial (Other)
iri;Irish
kin;Kinyarwanda
gla;Scottish Gaelic
syr;Syriac, Modern
lug;Ganda
tag;Tagalog
mus;Creek
yor;Yoruba
arc;Aramaic
kaz;Kazakh
cnr;Montenegrin
sga;Irish, Old (to 1100)
crp;Creoles and Pidgins (Other)
syc;Syriac
mon;Mongolian